Gene stable ID,Transcript stable ID,Gene name
ENSG00000280538,ENST00000630794,
ENSG00000281806,ENST00000628655,
ENSG00000281806,ENST00000630903,
ENSG00000281806,ENST00000628712,
ENSG00000279969,ENST00000625007,
ENSG00000274882,ENST00000624011,LINC02109
ENSG00000274882,ENST00000623709,LINC02109
ENSG00000274882,ENST00000626291,LINC02109
ENSG00000274882,ENST00000624110,LINC02109
ENSG00000274882,ENST00000624639,LINC02109
ENSG00000281362,ENST00000630612,LINC01115
ENSG00000280695,ENST00000630076,
ENSG00000280579,ENST00000628242,
ENSG00000280579,ENST00000628929,
ENSG00000280579,ENST00000625804,
ENSG00000280708,ENST00000631218,
ENSG00000280708,ENST00000627364,
ENSG00000280708,ENST00000629424,
ENSG00000281416,ENST00000631158,
ENSG00000281738,ENST00000629443,LINC01839
ENSG00000281250,ENST00000629872,LINC02054
ENSG00000281250,ENST00000626552,LINC02054
ENSG00000263275,ENST00000576306,
ENSG00000281954,ENST00000633215,
ENSG00000263130,ENST00000577143,
ENSG00000281839,ENST00000631340,LINC02735
ENSG00000282469,ENST00000633220,LINC00254
ENSG00000282469,ENST00000633134,LINC00254
ENSG00000282650,ENST00000632442,MEIOB
ENSG00000282650,ENST00000632201,MEIOB
ENSG00000282650,ENST00000631788,MEIOB
ENSG00000282069,ENST00000632534,LINC02124
ENSG00000280271,ENST00000624590,
ENSG00000280271,ENST00000622946,
ENSG00000264450,ENST00000585210,
ENSG00000281753,ENST00000629707,
ENSG00000280541,ENST00000630590,FTCD-AS1
ENSG00000262487,ENST00000576929,
ENSG00000280770,ENST00000630900,
ENSG00000281723,ENST00000629827,
ENSG00000276938,ENST00000628149,
ENSG00000276938,ENST00000612707,
ENSG00000281232,ENST00000627979,
ENSG00000282176,ENST00000632787,FLJ13224
ENSG00000282507,ENST00000631812,
ENSG00000263322,ENST00000575446,
ENSG00000282112,ENST00000631643,DSEL-AS1
ENSG00000282220,ENST00000632199,
ENSG00000282220,ENST00000631922,
ENSG00000282606,ENST00000633915,
ENSG00000281949,ENST00000633492,
ENSG00000282330,ENST00000633342,
ENSG00000281995,ENST00000631403,
ENSG00000281942,ENST00000633007,
ENSG00000282233,ENST00000631538,
ENSG00000282233,ENST00000634173,
ENSG00000282233,ENST00000631505,
ENSG00000282770,ENST00000632893,DLG5-AS1
ENSG00000282690,ENST00000633666,
ENSG00000281157,ENST00000630099,ARHGEF26-AS1
ENSG00000281157,ENST00000628445,ARHGEF26-AS1
ENSG00000281157,ENST00000631209,ARHGEF26-AS1
ENSG00000281157,ENST00000629571,ARHGEF26-AS1
ENSG00000263270,ENST00000570815,
ENSG00000263270,ENST00000574620,
ENSG00000263270,ENST00000572477,
ENSG00000280559,ENST00000626638,
ENSG00000280559,ENST00000626204,
ENSG00000280559,ENST00000629901,
ENSG00000280647,ENST00000625424,
ENSG00000279215,ENST00000624006,CRIM1-DT
ENSG00000281644,ENST00000630289,
ENSG00000281644,ENST00000627437,
ENSG00000281644,ENST00000626710,
ENSG00000281644,ENST00000629011,
ENSG00000282753,ENST00000631713,
ENSG00000282649,ENST00000634135,SEPTIN9-DT
ENSG00000282649,ENST00000632813,SEPTIN9-DT
ENSG00000282649,ENST00000632028,SEPTIN9-DT
ENSG00000280971,ENST00000628901,
ENSG00000262679,ENST00000572413,APOBEC3B-AS1
ENSG00000279974,ENST00000624528,
ENSG00000262453,ENST00000576811,
ENSG00000274449,ENST00000614334,
ENSG00000281261,ENST00000629621,FAM99A
ENSG00000281261,ENST00000629626,FAM99A
ENSG00000281633,ENST00000627821,LINC02708
ENSG00000281176,ENST00000628227,KRTAP5-AS1
ENSG00000281176,ENST00000629541,KRTAP5-AS1
ENSG00000281176,ENST00000629172,KRTAP5-AS1
ENSG00000281176,ENST00000630653,KRTAP5-AS1
ENSG00000281240,ENST00000627970,LINC02708
ENSG00000281783,ENST00000629833,FAM99B
ENSG00000281111,ENST00000629396,
ENSG00000281733,ENST00000626916,FAM99A
ENSG00000281733,ENST00000631114,FAM99A
ENSG00000281829,ENST00000631036,FAM99B
ENSG00000280986,ENST00000629950,LINC01659
ENSG00000280986,ENST00000626293,LINC01659
ENSG00000280737,ENST00000627030,LINC02549
ENSG00000281645,ENST00000629767,
ENSG00000281801,ENST00000625453,KRTAP5-AS1
ENSG00000281801,ENST00000631278,KRTAP5-AS1
ENSG00000281801,ENST00000630780,KRTAP5-AS1
ENSG00000281801,ENST00000627125,KRTAP5-AS1
ENSG00000280030,ENST00000623538,
